timestamp,lat,lon,gps_valid,speed_mps
1781258400.0,36.628,127.456,1,2.327
1781258401.0,36.62805,127.4560326,1,2.68
1781258402.0,36.6281,127.4560647,1,2.947
1781258403.0,36.62815,127.4560957,1,2.392
1781258404.0,36.6282,127.456125,1,2.463
1781258405.0,36.62825,127.4561522,1,2.846
1781258406.0,36.6283,127.4561768,1,2.965
1781258407.0,36.62835,127.4561983,1,2.605
1781258408.0,36.6284,127.4562165,1,2.528
1781258409.0,36.62845,127.456231,0,2.587
1781258410.0,36.6285,127.4562415,1,2.381
1781258411.0,36.62855,127.4562479,1,2.429
1781258412.0,36.6286,127.45625,1,2.446
1781258413.0,36.62865,127.4562479,1,2.909
1781258414.0,36.6287,127.4562415,1,2.301
1781258415.0,36.62875,127.456231,1,3.112
1781258416.0,36.6288,127.4562165,1,2.833
1781258417.0,36.62885,127.4561983,1,2.858
1781258418.0,36.6289,127.4561768,1,3.061
1781258419.0,36.62895,127.4561522,1,3.017
1781258420.0,36.629,127.456125,0,2.445
1781258421.0,36.62905,127.4560957,1,2.881
1781258422.0,36.6291,127.4560647,1,2.754
1781258423.0,36.62915,127.4560326,1,2.482
