timestamp,ax,ay,az,gx,gy,gz
1781258400.0,0.0112,-0.027,1.0236,0.0235,-0.0248,-0.0047
1781258400.05,-0.0225,-0.0568,1.015,-0.0168,0.0054,0.0186
1781258400.1,-0.0395,0.0238,0.9655,-0.0098,-0.0244,-0.0242
1781258400.15,0.0278,0.0369,1.0036,-0.0073,0.0031,0.0198
1781258400.2,0.0095,0.0093,0.9546,-0.0126,-0.0252,-0.016
1781258400.25,-0.0319,0.0163,0.987,-0.014,0.0262,0.0089
1781258400.3,0.0087,0.0275,0.9879,0.0084,0.0034,0.0111
1781258400.35,0.0274,-0.0325,0.9815,-0.0173,0.0266,0.0226
1781258400.4,-0.0148,-0.0125,0.9959,-0.0152,0.0037,-0.0142
1781258400.45,0.0068,-0.0121,1.0498,-0.0245,-0.0272,-0.0234
1781258400.5,0.0102,-0.0093,0.9882,0.0017,0.0283,0.0216
1781258400.55,-0.0391,0.0218,0.9767,-0.0233,-0.0039,-0.0028
1781258400.6,0.0363,-0.0284,0.9679,0.0222,-0.0121,0.0083
1781258400.65,0.0087,0.0315,1.0279,-0.03,-0.0106,-0.0288
1781258400.7,0.0343,0.0398,0.9558,0.0268,-0.0249,-0.0008
1781258400.75,-0.0345,0.0319,0.9975,-0.0141,0.0223,-0.0046
1781258400.8,-0.0231,0.0276,0.9812,0.009,-0.0037,0.0011
1781258400.85,-0.0303,-0.0194,0.973,-0.0257,0.0079,-0.0163
1781258400.9,0.0324,-0.0515,1.0169,-0.0221,0.0261,0.0043
1781258400.95,-0.0022,0.0369,0.9597,-0.0046,-0.002,0.0137
1781258401.0,0.0139,-0.0482,0.9839,-0.0151,-0.0186,-0.0031
1781258401.05,-0.0177,0.0508,1.0361,-0.027,0.03,0.0202
1781258401.1,0.0375,0.0418,0.9986,-0.0059,-0.0265,-0.0073
1781258401.15,0.0388,0.0341,0.9923,0.0297,0.0033,0.0131
1781258401.2,-0.0276,0.0562,1.0042,-0.0266,0.0051,0.0002
1781258401.25,0.0282,0.0553,0.9686,0.0105,-0.0159,-0.0228
1781258401.3,0.0312,0.0113,0.9919,0.0014,0.0261,-0.0177
1781258401.35,0.0173,-0.0125,0.98,0.0151,-0.0256,-0.0025
1781258401.4,0.0399,-0.0512,0.9765,0.0229,0.0228,-0.0078
1781258401.45,-0.0274,0.0244,1.0487,-0.0295,0.019,-0.012
1781258401.5,0.0131,-0.0439,0.9607,-0.0137,0.0063,0.0131
1781258401.55,-0.0237,-0.0283,1.0405,-0.0245,-0.0046,-0.0134
1781258401.6,-0.0397,0.0165,1.0241,-0.0043,-0.0294,-0.0255
1781258401.65,0.0306,0.0055,1.0083,-0.0224,-0.0115,0.0239
1781258401.7,0.0237,0.0479,0.975,0.0168,0.023,-0.0056
1781258401.75,0.0097,0.0516,1.0476,0.0229,-0.0285,0.0142
1781258401.8,-0.0134,0.0363,1.0311,0.0172,-0.0235,0.0223
1781258401.85,0.0287,0.038,0.9805,-0.0163,-0.0286,-0.0184
1781258401.9,-0.0137,0.056,1.0141,0.0289,0.0022,0.0264
1781258401.95,-0.0308,-0.0386,0.9765,-0.0039,0.0137,-0.0112
1781258402.0,0.0085,-0.0138,0.9755,-0.0299,0.0255,0.0023
1781258402.05,0.0194,-0.0163,1.0164,-0.0112,0.0209,0.0132
1781258402.1,-0.016,-0.011,0.9796,-0.0048,0.0264,0.0106
1781258402.15,0.0322,-0.0239,0.95,-0.0042,0.0048,0.0093
